,No.,Title,Artist(s),Year,spo_name,explicit,images,release_date,preview_url
875,76,"""Carry On""",Fun,2013,Carry On,True,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,2017-08-25,https://p.scdn.co/mp3-preview/5461d2bcee6a6996484cc91a0ceaef78c708e4b1?cid=914d599079cf414bb7441d9c09e8dd1d
876,77,"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban,2013,Highway Don't Care,False,https://i.scdn.co/image/ab67616d0000b27393b8a33577c83e2463eec47b,2013-01-01,
877,78,"""That's My Kind of Night""",Luke Bryan,2013,That's My Kind Of Night,False,https://i.scdn.co/image/ab67616d0000b27316fce2616744168b30462991,2013-01-01,
878,79,"""Swimming Pools (Drank)""",Kendrick Lamar,2013,Swimming Pools (Drank),True,https://i.scdn.co/image/ab67616d0000b273b5ef185d28724c5573c2ac9c,2012-01-01,
879,80,"""Sure Be Cool If You Did""",Blake Shelton,2013,Sure Be Cool If You Did,False,https://i.scdn.co/image/ab67616d0000b273de2b6ae73697b2da4d3e9c27,2013-03-26,https://p.scdn.co/mp3-preview/1fea8400fdbf81cacc3d97688e650f6af7337b80?cid=914d599079cf414bb7441d9c09e8dd1d
880,81,"""#Beautiful""",Mariah Carey featuring Miguel,2013,#Beautiful,True,https://i.scdn.co/image/ab67616d0000b2737fb8d2970f38ee4a14020e87,2014-05-23,
881,82,"""Troublemaker""",Olly Murs featuring Flo Rida,2013,Troublemaker (feat. Flo Rida),False,https://i.scdn.co/image/ab67616d0000b273b95f5f8768a25c70d72f91d0,2012-11-26,https://p.scdn.co/mp3-preview/192744a1f907a54436cc8c006f028b3cdf350f99?cid=914d599079cf414bb7441d9c09e8dd1d
882,83,"""Body Party""",Ciara,2013,Body Party,False,https://i.scdn.co/image/ab67616d0000b273e17d597d592d140c9394623d,2013-07-05,https://p.scdn.co/mp3-preview/e6fa51684a3ae866365066764ccbc049ea49047b?cid=914d599079cf414bb7441d9c09e8dd1d
883,84,"""Adorn""",Miguel,2013,Adorn,False,https://i.scdn.co/image/ab67616d0000b273fe113f478616e62a8fe14108,2012-09-28,https://p.scdn.co/mp3-preview/91de8c966c9a2df2742f38345f3f528020ff74af?cid=914d599079cf414bb7441d9c09e8dd1d
884,85,"""Hall of Fame""",The Script featuring will.i.am,2013,Hall of Fame (feat. will.i.am),False,https://i.scdn.co/image/ab67616d0000b273dd8408b50f45c66139f44ce2,2012-09-10,https://p.scdn.co/mp3-preview/a887360f6897298991dd402161835e86480fd9c5?cid=914d599079cf414bb7441d9c09e8dd1d
885,86,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,2013,Let Me Love You (Until You Learn To Love Yourself),False,https://i.scdn.co/image/ab67616d0000b27314f5c10de370e6d48d142629,2012-01-01,
886,87,"""U.O.E.N.O.""",Rocko featuring Future and Rick Ross,2013,"U.O.E.N.O. (feat. Rick Ross, Future)",True,https://i.scdn.co/image/ab67616d0000b2738d63ee9c869c64607624d1a3,2013-03-05,https://p.scdn.co/mp3-preview/ebd10e785710828df96eb6114ff040176a4b20a7?cid=914d599079cf414bb7441d9c09e8dd1d
887,88,"""Next to Me""",Emeli Sandé,2013,Next to Me,False,https://i.scdn.co/image/ab67616d0000b2736d265f08ab673e37c1f7fb9f,2021-10-21,https://p.scdn.co/mp3-preview/4d5a909cccb2bec15d86e424d19c30bf66e4b5e8?cid=914d599079cf414bb7441d9c09e8dd1d
888,89,"""Mama's Broken Heart""",Miranda Lambert,2013,Mama's Broken Heart,False,https://i.scdn.co/image/ab67616d0000b27303edd2321a6b59894b34848e,2011-11-01,https://p.scdn.co/mp3-preview/32ff311b098764133146a86c772d6c22ece834be?cid=914d599079cf414bb7441d9c09e8dd1d
889,90,"""It Goes Like This""",Thomas Rhett,2013,It Goes Like This,False,https://i.scdn.co/image/ab67616d0000b273773dd1a2c1e8b1475810e4be,2013-01-01,
890,91,"""Bugatti""",Ace Hood featuring Future and Rick Ross,2013,Bugatti,True,https://i.scdn.co/image/ab67616d0000b27398f22f2fe6b8b1b06ea5cd17,2013-01-01,
891,92,"""Wanted""",Hunter Hayes,2013,Wanted,False,https://i.scdn.co/image/ab67616d0000b2732a0070a89eb69a9cc7914f49,2011,https://p.scdn.co/mp3-preview/16004de13e5a8d25fda94e61f9b4991e726cc204?cid=914d599079cf414bb7441d9c09e8dd1d
892,93,"""Downtown""",Lady Antebellum,2013,Downtown,False,https://i.scdn.co/image/ab67616d0000b2738c6b830c36c7b4ac43c3cee8,2017-11-19,https://p.scdn.co/mp3-preview/c042062576baf14b67383579a217c6fef5442573?cid=914d599079cf414bb7441d9c09e8dd1d
893,94,"""Get Your Shine On""",Florida Georgia Line,2013,Get Your Shine On,False,https://i.scdn.co/image/ab67616d0000b273f5601676db551cb2a09e70a0,2012-01-01,
894,95,"""#thatPower""",will.i.am featuring Justin Bieber,2013,#thatPOWER,False,https://i.scdn.co/image/ab67616d0000b273642efc0b3f045f34316d2cf3,2013-01-01,
895,96,"""Brave""",Sara Bareilles,2013,Brave,False,https://i.scdn.co/image/ab67616d0000b273022b4010e20659300f42c375,2013-07-16,https://p.scdn.co/mp3-preview/d138243fe36727cb94a7b5242ba80e9b46c32b60?cid=914d599079cf414bb7441d9c09e8dd1d
896,97,"""Let Her Go""",Passenger,2013,Let Her Go,False,https://i.scdn.co/image/ab67616d0000b273a7c10595167c713a2df0f187,2013-02-17,https://p.scdn.co/mp3-preview/1d38db3a4cffa50481feb63c3b4b417ea3247641?cid=914d599079cf414bb7441d9c09e8dd1d
897,98,"""Runnin' Outta Moonlight""",Randy Houser,2013,Runnin' Outta Moonlight,False,https://i.scdn.co/image/ab67616d0000b273e3f7c89cc514d4d935f10d98,2013-01-22,https://p.scdn.co/mp3-preview/4e4c3381509043f59a40848eeebb8eb540a7426e?cid=914d599079cf414bb7441d9c09e8dd1d
898,99,"""I'm Different""",2 Chainz,2013,I'm Different,True,https://i.scdn.co/image/ab67616d0000b2730bcccf7c7e65f294c2430f9b,2012-01-01,
899,100,"""Still Into You""",Paramore,2013,Still into You,False,https://i.scdn.co/image/ab67616d0000b273e71a5005c37e8c2ffd9beda8,2013-04-05,https://p.scdn.co/mp3-preview/c029f0bab41d914de58b193af43a9c82504dc005?cid=914d599079cf414bb7441d9c09e8dd1d
900,1,"""Somebody That I Used to Know""",Gotye featuring Kimbra,2012,Somebody That I Used To Know,False,https://i.scdn.co/image/ab67616d0000b273e1d47c00ddecbfb810c807ed,2011-01-01,
901,2,"""Call Me Maybe""",Carly Rae Jepsen,2012,Call Me Maybe,False,https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c,2012-01-01,
902,3,"""We Are Young""",Fun featuring Janelle Monáe,2012,We Are Young (feat. Janelle Monáe),False,https://i.scdn.co/image/ab67616d0000b27305fb4e9947c6edaf3836766e,2012-02-21,https://p.scdn.co/mp3-preview/ba5bc5a6ef6ee6dc8e122b22438923bf0326200f?cid=914d599079cf414bb7441d9c09e8dd1d
903,4,"""Payphone""",Maroon 5 featuring Wiz Khalifa,2012,Payphone,True,https://i.scdn.co/image/ab67616d0000b2733119f490f02fcee6514e8604,2021-06-20,
904,5,"""Lights""",Ellie Goulding,2012,Lights Are On,False,https://i.scdn.co/image/ab67616d0000b273963d93a7d49b6a45facb8f78,2018-10-26,https://p.scdn.co/mp3-preview/07f32a5c22566100a32940d1e861ecaaa297b5b8?cid=914d599079cf414bb7441d9c09e8dd1d
905,6,"""Glad You Came""",The Wanted,2012,Glad You Came,False,https://i.scdn.co/image/ab67616d0000b27317a142a78128fb7c54ab9aa4,2011-01-01,
906,7,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,2012,Stronger (What Doesn't Kill You),False,https://i.scdn.co/image/ab67616d0000b273253e3f8fce535f72a6b2c4ba,2011-10-24,https://p.scdn.co/mp3-preview/4ead28f7aba41146c185d3386fdb762d6ee96eef?cid=914d599079cf414bb7441d9c09e8dd1d
907,8,"""We Found Love""",Rihanna featuring Calvin Harris,2012,We Found Love,False,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,2011-11-18,
908,9,"""Starships""",Nicki Minaj,2012,Starships,True,https://i.scdn.co/image/ab67616d0000b27385235715597dcd07bb9e0f84,2011-01-01,
909,10,"""What Makes You Beautiful""",One Direction,2012,What Makes You Beautiful,False,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,2012-05-25,https://p.scdn.co/mp3-preview/1bf9b17fe9b6cdd5216ef8e595ef89a5aa340bbb?cid=914d599079cf414bb7441d9c09e8dd1d
910,11,"""Wild Ones""",Flo Rida featuring Sia,2012,Wild Ones (feat. Sia),False,https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09,2012-06-22,https://p.scdn.co/mp3-preview/1c6fa6c8daf00880545556415d8f1314be7fd8c0?cid=914d599079cf414bb7441d9c09e8dd1d
911,12,"""Set Fire to the Rain""",Adele,2012,Set Fire to the Rain,False,https://i.scdn.co/image/ab67616d0000b2731c88166762f2e18f8f23c6f1,2011-01-24,https://p.scdn.co/mp3-preview/b8cf671d9dcff68bbe78eaaf1b4b3eba2ee4ce83?cid=914d599079cf414bb7441d9c09e8dd1d
912,13,"""Sexy and I Know It""",LMFAO,2012,Sexy And I Know It,False,https://i.scdn.co/image/ab67616d0000b2730dfa923895a2814ae422c49a,2011-01-01,
913,14,"""Some Nights""",Fun,2012,Some Nights,True,https://i.scdn.co/image/ab67616d0000b27305fb4e9947c6edaf3836766e,2012-02-21,https://p.scdn.co/mp3-preview/ad945d63f38c7239a5fd8c8841b1ed58a0ff76d5?cid=914d599079cf414bb7441d9c09e8dd1d
914,15,"""Wide Awake""",Katy Perry,2012,Wide Awake,False,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,2012-03-12,
915,16,"""Good Feeling""",Flo Rida,2012,Good Feeling,False,https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09,2012-06-22,https://p.scdn.co/mp3-preview/a8f1c619eda21dcfcaa3f9d154a3b09658c0d76d?cid=914d599079cf414bb7441d9c09e8dd1d
916,17,"""Whistle""",Flo Rida,2012,Whistle,False,https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09,2012-06-22,https://p.scdn.co/mp3-preview/84c84c0a0f05af8b8c0813d63870eda147108b21?cid=914d599079cf414bb7441d9c09e8dd1d
917,18,"""One More Night""",Maroon 5,2012,One More Night,False,https://i.scdn.co/image/ab67616d0000b273ce7d499847da02a9cbd1c084,2012-01-01,
918,19,"""Drive By""",Train,2012,Drive By,False,https://i.scdn.co/image/ab67616d0000b273bde344cc54eedc35050f4c61,2012-04-17,https://p.scdn.co/mp3-preview/e1667c3894995234eccf7777212986d6d1f7a8fa?cid=914d599079cf414bb7441d9c09e8dd1d
919,20,"""The Motto""",Drake featuring Lil Wayne,2012,The Motto,False,https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e,2021-11-04,https://p.scdn.co/mp3-preview/bf5bc1080a2416f74152f30febd4495e310c8140?cid=914d599079cf414bb7441d9c09e8dd1d
920,21,"""Where Have You Been""",Rihanna,2012,Where Have You Been,False,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,2011-11-18,
921,22,"""Everybody Talks""",Neon Trees,2012,Everybody Talks,False,https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2,2012-01-01,
922,23,"""Take Care""",Drake featuring Rihanna,2012,Take Care,True,https://i.scdn.co/image/ab67616d0000b273c7ea04a9b455e3f68ef82550,2011-11-15,
923,24,"""Titanium""",David Guetta featuring Sia,2012,Titanium (feat. Sia),False,https://i.scdn.co/image/ab67616d0000b273a197a2ef3ad6704d1f44aa4e,2011-08-24,https://p.scdn.co/mp3-preview/60efd568cdba223a1ecc46df9563ba13ff70a1bb?cid=914d599079cf414bb7441d9c09e8dd1d
924,25,"""I Won't Give Up""",Jason Mraz,2012,I Won't Give Up,False,https://i.scdn.co/image/ab67616d0000b27346e379c721504777a62bd9b8,2012-04-13,https://p.scdn.co/mp3-preview/f44541a53256e4d5c8f2e2b568ba5f632a58b1a2?cid=914d599079cf414bb7441d9c09e8dd1d
925,26,"""It Will Rain""",Bruno Mars,2012,It Will Rain,False,https://i.scdn.co/image/ab67616d0000b273f01ba25235fb24f73605b9dd,2011-11-04,https://p.scdn.co/mp3-preview/6bb2f58f366ca72b6edcad3f1b4540ba8b339dc0?cid=914d599079cf414bb7441d9c09e8dd1d
926,27,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",2012,Mercy,True,https://i.scdn.co/image/ab67616d0000b2732127d038204bc32c416d55e2,2012-01-01,
927,28,"""Boyfriend""",Justin Bieber,2012,Boyfriend,True,https://i.scdn.co/image/ab67616d0000b2730397f50cb9dc5393db5d08bc,2022-02-11,https://p.scdn.co/mp3-preview/53120317c1fc5576aa178f37ddfa991f6eabf0d6?cid=914d599079cf414bb7441d9c09e8dd1d
928,29,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,2012,Party Rock Anthem,False,https://i.scdn.co/image/ab67616d0000b273d77a9a738c99b8c4f7a7c3ee,2011-01-01,
929,30,"""Too Close""",Alex Clare,2012,Too Close,False,https://i.scdn.co/image/ab67616d0000b273e4a4c4e62815010f6cddd2ca,2011,
930,31,"""Part of Me""",Katy Perry,2012,Part Of Me,False,https://i.scdn.co/image/ab67616d0000b273a56dc57d708c7b62db950105,2012-01-01,
931,32,"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,2012,"Young, Wild & Free (feat. Bruno Mars)",True,https://i.scdn.co/image/ab67616d0000b2738596df2f2646ab9aba464c30,2011-10-11,https://p.scdn.co/mp3-preview/c93614f266bdc750259e2bc0006960dc2fd27776?cid=914d599079cf414bb7441d9c09e8dd1d
932,33,"""We Are Never Ever Getting Back Together""",Taylor Swift,2012,We Are Never Ever Getting Back Together,False,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec,2012-10-22,
933,34,"""As Long as You Love Me""",Justin Bieber featuring Big Sean,2012,As Long as You Love Me,False,https://i.scdn.co/image/ab67616d0000b273dafd4b9261a1ab9acd53a53d,1996,https://p.scdn.co/mp3-preview/b010de00c5bfbce6aae89a34693e3d1d6a583d3b?cid=914d599079cf414bb7441d9c09e8dd1d
934,35,"""Turn Me On""",David Guetta featuring Nicki Minaj,2012,Turn Me On,False,https://i.scdn.co/image/ab67616d0000b27373b8d34fa1ece5bb3cbf6bfb,2004-03-30,https://p.scdn.co/mp3-preview/6a4944215090dfda1fd38979ad459ec2612d8fff?cid=914d599079cf414bb7441d9c09e8dd1d
935,36,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,2012,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",False,https://i.scdn.co/image/ab67616d0000b273ce70cb2d7063cf869f9f1239,2010,
936,37,"""Blow Me (One Last Kiss)""",Pink,2012,Blow Me (One Last Kiss),True,https://i.scdn.co/image/ab67616d0000b2739d0f0d226987b449808e7b6f,2012-09-18,https://p.scdn.co/mp3-preview/01e35f484de3d96b6b4849528e19c174e6c0d910?cid=914d599079cf414bb7441d9c09e8dd1d
937,38,"""Good Time""",Owl City and Carly Rae Jepsen,2012,GOOD TIME,False,https://i.scdn.co/image/ab67616d0000b2736293c2d1a9bf6a1b5baf5eca,2021-08-27,https://p.scdn.co/mp3-preview/8c0559319e730c250cf3467950a8498c985af2b7?cid=914d599079cf414bb7441d9c09e8dd1d
938,39,"""Give Your Heart a Break""",Demi Lovato,2012,Give Your Heart a Break,False,https://i.scdn.co/image/ab67616d0000b27383fc43cfc25d836e17f8cc30,2011-01-01,
