,No.,Title,Artist(s),Year,spo_name,spo_id,explicit,images,release_date,preview_url,itunes_name,apple_id,genre,trackTime,trackView
235,36,"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande,2019,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,True,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,2019-02-08,,"break up with your girlfriend, i'm bored",1450330687,Pop,190408,https://music.apple.com/us/album/break-up-with-your-girlfriend-im-bored/1450330588?i=1450330687&uo=4
236,37,"""Please Me""",Cardi B and Bruno Mars,2019,Please Me,0PG9fbaaHFHfre2gUVo7AN,True,https://i.scdn.co/image/ab67616d0000b273288883647008cefba0db5402,2019-02-15,https://p.scdn.co/mp3-preview/83f5801adf5325fcc5dfe0cb4cb8497ea84723fb?cid=914d599079cf414bb7441d9c09e8dd1d,Please Me,1453056904,Hip-Hop/Rap,200890,https://music.apple.com/us/album/please-me/1453056901?i=1453056904&uo=4
237,38,"""Money""",Cardi B,2019,Monëy so big,7BbaIYAdi3pg4MGl6PHwPv,True,https://i.scdn.co/image/ab67616d0000b273b20fdc3ee4c262693cfdf005,2021-09-10,https://p.scdn.co/mp3-preview/aacc7f41d4703bcbe1fe6e2a4b27e20b8ac94dee?cid=914d599079cf414bb7441d9c09e8dd1d,Money,1439777400,Hip-Hop/Rap,183527,https://music.apple.com/us/album/money/1439777399?i=1439777400&uo=4
238,39,"""You Need to Calm Down""",Taylor Swift,2019,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,False,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,2019-08-23,,You Need To Calm Down,1468058704,Pop,171352,https://music.apple.com/us/album/you-need-to-calm-down/1468058165?i=1468058704&uo=4
239,40,"""Panini""",Lil Nas X,2019,Panini,1000nHvUdawXuUHgBod4Wv,False,https://i.scdn.co/image/ab67616d0000b273de048a43d03fb53a466c1c9f,2019-09-13,https://p.scdn.co/mp3-preview/19b30906b6732616be9a634daafd0e2f45795918?cid=914d599079cf414bb7441d9c09e8dd1d,Panini,1479239196,Alternative,114893,https://music.apple.com/us/album/panini/1468166325?i=1468166328&uo=4
240,41,"""Look Back at It""",A Boogie wit da Hoodie,2019,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,True,https://i.scdn.co/image/ab67616d0000b273dcfadea246002a5c0fd7b1b8,2018-12-21,https://p.scdn.co/mp3-preview/6a898511c09af98b2f901d832e828a53b8951f8a?cid=914d599079cf414bb7441d9c09e8dd1d,Look Back at It,1445606856,Hip-Hop/Rap,179450,https://music.apple.com/us/album/look-back-at-it/1445606845?i=1445606856&uo=4
241,42,"""A Lot""",21 Savage,2019,a lot,2t8yVaLvJ0RenpXUIAC52d,True,https://i.scdn.co/image/ab67616d0000b273280689ecc5e4b2038bb5e4bd,2018-12-21,https://p.scdn.co/mp3-preview/1fb3f4819c85b41a294b638c06cd562df1f09f80?cid=914d599079cf414bb7441d9c09e8dd1d,a lot,1446918495,Hip-Hop/Rap,288624,https://music.apple.com/us/album/a-lot/1446918493?i=1446918495&uo=4
242,43,"""Me!""",Taylor Swift featuring Brendon Urie,2019,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,True,https://i.scdn.co/image/ab67616d0000b273024ea7e883a713a3ad552a71,2020-03-13,,ME! (feat. Brendon Urie of Panic! At the Disco),1468058706,Pop,193000,https://music.apple.com/us/album/me-feat-brendon-urie-of-panic-at-the-disco/1468058165?i=1468058706&uo=4
243,44,"""Mia""",Bad Bunny featuring Drake,2019,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,False,https://i.scdn.co/image/ab67616d0000b2734d382194384bc6e08eb090f6,2018-10-11,https://p.scdn.co/mp3-preview/b7acebadca24fc8d5e906d4b1dd75f01a3fc243e?cid=914d599079cf414bb7441d9c09e8dd1d,MIA (feat. Drake),1438445674,Latin,210368,https://music.apple.com/us/album/mia-feat-drake/1438445670?i=1438445674&uo=4
244,45,"""Pop Out""",Polo G featuring Lil Tjay,2019,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,True,https://i.scdn.co/image/ab67616d0000b273ae8b07ecdcf7aadefe00264f,2019-06-07,https://p.scdn.co/mp3-preview/044b9863a49433dc4727e27dd8da04e4b61429c8?cid=914d599079cf414bb7441d9c09e8dd1d,Pop Out (feat. Lil Tjay),1465993869,Hip-Hop/Rap,166560,https://music.apple.com/us/album/pop-out-feat-lil-tjay/1465993735?i=1465993869&uo=4
245,46,"""Beautiful Crazy""",Luke Combs,2019,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,False,https://i.scdn.co/image/ab67616d0000b273ccba76fad1c624c09e72bc78,2018-06-01,https://p.scdn.co/mp3-preview/22bc30ceb0bd5c8175491dfdc7cdeb8c1a3ba6f8?cid=914d599079cf414bb7441d9c09e8dd1d,Beautiful Crazy,1376707066,Country,193467,https://music.apple.com/us/album/beautiful-crazy/1376705241?i=1376707066&uo=4
246,47,"""Thotiana""",Blueface,2019,Thotiana,5GBuCHuPKx6UC7VsSPK0t3,True,https://i.scdn.co/image/ab67616d0000b273ab52be56f39be3b2aeb94daa,2018-12-18,https://p.scdn.co/mp3-preview/125fc86d80d9b10eeaed2f3b015383d3509b7b1b?cid=914d599079cf414bb7441d9c09e8dd1d,Thotiana (Remix),1447228768,Hip-Hop/Rap,297546,https://music.apple.com/us/album/thotiana-remix-feat-cardi-b-yg/1453318870?i=1453318871&uo=4
247,48,"""Lucid Dreams""",Juice Wrld,2019,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,True,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2018-12-10,,Lucid Dreams,1407165118,Hip-Hop/Rap,239836,https://music.apple.com/us/album/lucid-dreams/1407165109?i=1407165118&uo=4
248,49,"""Mo Bamba""",Sheck Wes,2019,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,True,https://i.scdn.co/image/ab67616d0000b27359cd47039c5b10ed919fbaa8,2018-10-05,,Mo Bamba,1438063138,Hip-Hop/Rap,183907,https://music.apple.com/us/album/mo-bamba/1438063006?i=1438063138&uo=4
